≤®≥§,∑¥…‰¬ (%)
400,36.39 
410,35.63 
420,35.16 
430,34.67 
440,34.26 
450,33.72 
460,33.80 
470,33.41 
480,33.05 
490,32.91 
500,32.68 
510,32.42 
520,32.17 
530,31.96 
540,31.82 
550,31.61 
560,31.47 
570,31.27 
580,31.29 
590,31.28 
600,31.13 
610,30.98 
620,30.89 
630,30.90 
640,30.90 
650,30.86 
660,30.85 
670,30.81 
680,30.84 
690,30.79 
700,30.71 
710,30.61 
720,30.53 
730,30.55 
740,30.50 
750,30.46 
760,30.32 
770,30.33 
780,30.23 
790,30.01 
800,29.83 
810,29.61 
820,29.97 
830,29.27 
840,28.79 
850,28.45 
860,28.19 
870,27.81 
880,27.49 
890,27.16 
900,26.75 
910,26.48 
920,26.06 
930,25.77 
940,25.57 
950,25.80 
960,25.47 
970,25.18 
980,25.31 
990,25.40 
