≤®≥§,∑¥…‰¬ %
400,3.43
410,3.05
420,3.33
430,3.63
440,3.76
450,3.29
460,3.28
470,3.58
480,3.41
490,3.32
500,3.29
510,3.32
520,3.28
530,3.22
540,3.47
550,3.38
560,3.45
570,3.43
580,3.64
590,3.63
600,3.72
610,3.83
620,3.77
630,3.86
640,3.98
650,3.99
660,4.1
670,4.14
680,4.15
690,4.24
700,4.28
710,4.36
720,4.43
730,4.36
740,4.39
750,4.34
760,4.4
770,4.46
780,4.36
790,4.29
800,4.36
810,4.26
820,4.3
830,4.05
840,3.96
850,4.12
860,4
870,3.83
880,3.89
890,3.81
900,3.78
910,3.44
920,3.87
930,3.22
940,3.75
950,3.61
960,3.77
970,3.66
980,3.71
990,3.2
