≤®≥§,∑¥…‰¬ %
400,36.2
410,35.68
420,35.27
430,34.9
440,34.17
450,34.06
460,34.09
470,33.61
480,33.33
490,33.05
500,32.59
510,32.31
520,32.48
530,31.79
540,31.85
550,31.43
560,31.47
570,31.25
580,31.14
590,31.2
600,31.03
610,30.84
620,30.64
630,30.61
640,30.52
650,30.39
660,30.43
670,30.56
680,30.48
690,30.51
700,30.44
710,30.58
720,30.71
730,30.54
740,30.42
750,30.4
760,30.06
770,29.87
780,29.75
790,29.36
800,29.1
810,28.87
820,28.68
830,28.4
840,28.1
850,27.9
860,27.53
870,28.2
880,27.92
890,28.1
900,28.77
910,28.81
920,28.69
930,28.33
940,28.72
950,29.32
960,29.15
970,30.28
980,30.14
990,30.29
